chapter_name,section_name,chapter_summary,Follows
43 Bluffing for Bargains,04 How to be an insider in any crowd,"For big-ticket items, learn a few words of industry jargon from several vendors before going to the one you plan to buy from to help you negotiate a lower price.",
44 Be a Copycat,"05 Why, we're just alike!","Observe the way people move—fast, slow, fluid, jerky—and subtly imitate their style of movement to make them feel subliminally comfortable with you.",
45 Echoing,"05 Why, we're just alike!","Listen to your partner's specific choice of words—nouns, verbs, adjectives—and echo them back. Hearing their own words come from your mouth creates subliminal rapport.",
46 Potent Imaging,"05 Why, we're just alike!","Use analogies and imagery from your listener's world and interests, not your own, to give your points more power and punch.",
47 Employ Empathizers,"05 Why, we're just alike!","Instead of unconscious sounds like ""uh huh,"" use complete sentences to show your understanding, such as ""I see what you mean"" or ""That's a lovely thing to say"".",
48 Anatomically Correct Empathizers,"05 Why, we're just alike!","Listen to whether your partner is speaking in visual, auditory, or kinesthetic terms and match your empathizers accordingly to make them feel you see, hear, or feel the world the way they do.",
49 The Premature We,"05 Why, we're just alike!","Create a sensation of intimacy with someone new by using words like ""we,"" ""us,"" and ""our"" early in the conversation.",
50 Instant History,"05 Why, we're just alike!","When you have a shared moment with a new acquaintance, find a few words to refer back to it later. This creates a sense of shared history between you.",
51 Grapevine Glory,"06 The power of praise, the folly of flattery","A compliment that is overheard is more powerful than one given directly. Tell a mutual friend something positive about someone so they ""overhear"" it, which adds credibility.",
52 Carrier Pigeon Kudos,"06 The power of praise, the folly of flattery","Become a carrier of good news. When you hear something complimentary about someone, fly to them and deliver the compliment.",
53 Implied Magnificence,"06 The power of praise, the folly of flattery",Make comments that presuppose something positive about the person you're talking with.,
54 Accidental Adulation,"06 The power of praise, the folly of flattery","Become an ""undercover complimenter"" by sneaking praise into the parenthetical part of your sentence, making it seem as if it just slipped out.",
55 The Killer Compliment,"06 The power of praise, the folly of flattery","Search for one specific, unique, and attractive quality in a person. At the end of your conversation, look them in the eye, say their name, and deliver the compliment.",
56 Little Strokes,"06 The power of praise, the folly of flattery","Regularly caress your friends, colleagues, and loved ones with small verbal affirmations like ""Nice job!"" or ""Well done!"" to let them know you appreciate them.",
57 The Knee-Jerk 'Wow!',"06 The power of praise, the folly of flattery","The moment someone finishes a feat, praise them immediately with a quick, reflexive ""You were terrific!"".",
58 Boomeranging,"06 The power of praise, the folly of flattery","When you receive a compliment, let it boomerang back to the giver by quickly murmuring something like, ""That's very kind of you"".",
59 The Tombstone Game,"06 The power of praise, the folly of flattery","Ask people what they'd want on their tombstone to learn their deepest self-image. Later, use their own words to compliment them, making them feel truly understood.",
60 Talking Gestures,07 Direct dial their hearts,"When you're on the phone, you must turn your smiles, nods, and gestures into sounds and words your listener can hear, punching up your energy by about 30 percent.",
61 Name Shower,07 Direct dial their hearts,"On the phone, use the other person's name more often than you would in person to keep their attention and create a sense of closeness.",
"62 Oh Wow, It's You!'",07 Direct dial their hearts,"Answer the phone professionally, but after you hear who is calling, let a huge smile of happiness flood into your voice to make the caller feel special.",
63 The Sneaky Screen,07 Direct dial their hearts,"If you screen calls, have your staff first say, ""Oh yes, I'll put you right through. May I tell her who's calling?"" before returning to say you're unavailable. This makes callers feel less personally rejected.",
64 Salute the Spouse,07 Direct dial their hearts,"When calling someone's home or office, always be friendly and respectful to the person who answers the phone, such as a spouse or secretary, as they can influence the VIP.",
65 What Colour Is Your Time?,07 Direct dial their hearts,"Always begin a phone call by asking about the person's timing, with a question like, ""Is this a convenient time for you to talk?"".",
66 Constantly Changing Outgoing Message,07 Direct dial their hearts,"To be perceived as reliable, leave a short, professional outgoing voicemail message and change it every day.",
67 Your Ten-Second Audition,07 Direct dial their hearts,"When you get an answering machine, treat the beep as your cue to deliver a compelling, ten-second ""audition"" that proves you are worthy of a quick callback.",
68 The Ho-Hum Caper,07 Direct dial their hearts,"To signal to a secretary that you are friends with their boss, casually use the pronoun ""he"" or ""she"" instead of their full name, for example, ""Hi, is she in?"".",
69 I Hear Your Other Line',07 Direct dial their hearts,"When you hear a background noise on a call (another phone, a baby crying), stop speaking and ask the person if they need to attend to it.",
70 Instant Replay,07 Direct dial their hearts,Record your business conversations and listen to them a second or third time to pick up on significant subtleties you may have missed in the moment.,
71 Munching or Mingling,08 How to work a party like a politician works a room,"At a party, either eat or socialize, but do not do both at once. Holding food or a drink creates a barrier between you and the person you are talking to.",
72 Rubberneck the Room,08 How to work a party like a politician works a room,"When you arrive at a gathering, stop dramatically in the doorway and slowly survey the entire scene to diagnose the situation you are walking into.",
"73 Be the Chooser, Not the Choosee",08 How to work a party like a politician works a room,Don't stand around waiting for people to approach you. Actively explore every face in the room and decide who you want to capture in your life.,
74 Come-Hither Hands,08 How to work a party like a politician works a room,"Keep your body in an open position, especially your arms and hands. People are drawn to open palms, which signal acceptance and that you have nothing to hide.",
75 Tracking,08 How to work a party like a politician works a room,Keep track of the tiniest details of your conversation partners' lives and refer to them in later conversations. This creates a powerful sense of intimacy and makes them feel like a star.,
76 The Business Card Dossier,08 How to work a party like a politician works a room,"Immediately after talking with someone, write notes on the back of their business card about your conversation—their interests, a joke they told, etc.—to reference in your next communication.",
77 Eyeball Selling,08 How to work a party like a politician works a room,"Pay close attention to your customers' non-verbal signals to see which aspects of your product thrill them and which bore them, then adjust your pitch accordingly.",
"78 See No Bloopers, Hear No Bloopers",09 Little tricks of big winners,"When friends or colleagues make minor fumbles, spills, or slips, pretend you do not notice them to spare their feelings.",
79 Lend a Helping Tongue,09 Little tricks of big winners,"When someone's story is interrupted, help them resume by saying, ""Now please get back to your story,"" or even better, by asking, ""So what happened after..."" and filling in the last few words for them.",
80 Bare the Buried WIIFM,09 Little tricks of big winners,"Whenever you ask for a favor or suggest a meeting, be upfront about what's in it for you (WIIFM) and what's in it for them (WIIFY).",
81 Let 'Em Savour the Favour,09 Little tricks of big winners,"When a friend does you a favor, give them at least 24 hours to enjoy the feeling of their generosity before you ask for anything else.",
82 Wait Wait Tit for Tat,09 Little tricks of big winners,"When you do someone a favor, wait a suitable amount of time before asking them to repay it, so they feel you did it out of friendship.",
83 Parties Are for Pratter,09 Little tricks of big winners,"Parties are for pleasantries and good fellowship, not for confrontations. Even big players are polite to their enemies at a party.",
84 Dinner's for Dining,09 Little tricks of big winners,"The dining table is a safe haven where no unpleasant matters should be discussed. Positive brainstorming is acceptable, but tough business is not.",
85 Chance Encounters Are for Chitchat,09 Little tricks of big winners,"If you run into someone with whom you are in a sensitive negotiation or communication, keep the conversation light and do not bring up business.",
86 Empty Their Tanks,09 Little tricks of big winners,"If you need information from people, let them have their entire say first. Wait until their ""tank is on empty"" before you introduce your ideas.",
87 Echo the EMO,09 Little tricks of big winners,"When dealing with an emotional situation, hear the facts but empathize intensely with the emotions. Calming the emotional storm is often the only way to get to the facts.",
88 My Good Your Gain,09 Little tricks of big winners,"When you make a mistake, it's not enough to just correct it. You must find a way for your ""victim"" to benefit, so they will be delighted you made the flub.",
89 Leave an Escape Hatch,09 Little tricks of big winners,"When you catch someone in a lie or deception, do not confront them directly unless it is your responsibility to do so. Let the person save face, then resolve to not deal with them again.",
90 Buttercups for Their Boss,09 Little tricks of big winners,"To get special attention from any service personnel in the future, send a complimentary letter or note about them to their boss.",
91 Lead the Listeners,09 Little tricks of big winners,"When you agree with a speaker, be the first person in the audience to applaud or publicly commend them. This signals that you are also a leader.",
92 The Great Scorecard in the Sky,09 Little tricks of big winners,"Understand that there is an invisible scorecard between any two people, and the player with the lower score must pay deference to the player with the higher score. Before any interaction, calculate who should defer to whom to avoid being thrown out of the game.",
